"","Species","decimalLatitude","decimalLongitude","year","month","basisOfRecord"
"65","Whooping Crane",28.06139,-97.04107,2013,2,"HUMAN_OBSERVATION"
"66","Whooping Crane",30.719019,-97.34011,2013,2,"HUMAN_OBSERVATION"
"67","Whooping Crane",28.23544,-96.85547,2013,2,"HUMAN_OBSERVATION"
"68","Whooping Crane",28.107115,-97.0285,2013,2,"HUMAN_OBSERVATION"
"69","Whooping Crane",28.13255,-96.98505,2013,2,"HUMAN_OBSERVATION"
"70","Whooping Crane",30.681953,-97.353584,2013,2,"HUMAN_OBSERVATION"
"71","Whooping Crane",28.14769,-96.97501,2013,2,"HUMAN_OBSERVATION"
"72","Whooping Crane",28.143543,-96.9759,2013,2,"HUMAN_OBSERVATION"
"73","Whooping Crane",30.73067,-97.38979,2013,2,"HUMAN_OBSERVATION"
"74","Whooping Crane",30.72371,-97.375,2013,2,"HUMAN_OBSERVATION"
"75","Whooping Crane",28.171598,-96.95778,2013,2,"HUMAN_OBSERVATION"
"76","Whooping Crane",28.147432,-96.97676,2013,2,"HUMAN_OBSERVATION"
"77","Whooping Crane",28.290926,-96.80985,2013,2,"HUMAN_OBSERVATION"
"78","Whooping Crane",28.168833,-96.84336,2013,2,"HUMAN_OBSERVATION"
"79","Whooping Crane",30.6958,-97.3581,2013,2,"HUMAN_OBSERVATION"
"80","Whooping Crane",27.951402,-97.161969,2013,3,"HUMAN_OBSERVATION"
"81","Whooping Crane",28.04606,-96.876034,2013,3,"HUMAN_OBSERVATION"
"82","Whooping Crane",28.170866,-96.933093,2013,3,"HUMAN_OBSERVATION"
"83","Whooping Crane",28.174326,-96.99619,2013,3,"HUMAN_OBSERVATION"
"84","Whooping Crane",28.21245,-96.83899,2013,3,"HUMAN_OBSERVATION"
"85","Whooping Crane",28.298334,-96.80466,2013,3,"HUMAN_OBSERVATION"
"86","Whooping Crane",28.183704,-96.99159,2013,3,"HUMAN_OBSERVATION"
"87","Whooping Crane",28.160686,-96.88676,2013,3,"HUMAN_OBSERVATION"
"88","Whooping Crane",28.147858,-96.97325,2013,3,"HUMAN_OBSERVATION"
"89","Whooping Crane",30.71643,-97.443184,2013,3,"HUMAN_OBSERVATION"
"90","Whooping Crane",28.1576,-96.98027,2013,3,"HUMAN_OBSERVATION"
"91","Whooping Crane",28.14225,-96.97646,2013,3,"HUMAN_OBSERVATION"
"92","Whooping Crane",28.149881,-96.9734,2013,3,"HUMAN_OBSERVATION"
"93","Whooping Crane",28.1479,-96.980545,2013,3,"HUMAN_OBSERVATION"
"94","Whooping Crane",28.651918,-96.10282,2013,3,"HUMAN_OBSERVATION"
"95","Whooping Crane",28.6448,-96.102905,2013,3,"HUMAN_OBSERVATION"
"96","Whooping Crane",28.144054,-96.975716,2013,3,"HUMAN_OBSERVATION"
"97","Whooping Crane",28.147839,-96.978775,2013,3,"HUMAN_OBSERVATION"
"98","Whooping Crane",28.0206,-97.05447,2013,3,"HUMAN_OBSERVATION"
"99","Whooping Crane",28.14254,-96.989235,2013,3,"HUMAN_OBSERVATION"
"100","Whooping Crane",28.244532,-96.85656,2013,3,"HUMAN_OBSERVATION"
"101","Whooping Crane",32.985265,-96.493125,2013,4,"HUMAN_OBSERVATION"
"102","Whooping Crane",28.25665,-96.900531,2013,4,"HUMAN_OBSERVATION"
"103","Whooping Crane",32.960179,-96.506936,2013,5,"HUMAN_OBSERVATION"
"104","Whooping Crane",28.009469,-97.027054,2013,10,"HUMAN_OBSERVATION"
"105","Whooping Crane",30.15471,-97.47896,2013,10,"HUMAN_OBSERVATION"
"106","Whooping Crane",30.347826,-97.86511,2013,10,"HUMAN_OBSERVATION"
"107","Whooping Crane",29.149761,-95.213021,2013,11,"HUMAN_OBSERVATION"
"108","Whooping Crane",30.913514,-96.97805,2013,11,"HUMAN_OBSERVATION"
"109","Whooping Crane",28.315418,-96.621422,2013,11,"HUMAN_OBSERVATION"
"110","Whooping Crane",28.063309,-97.033936,2013,11,"HUMAN_OBSERVATION"
"111","Whooping Crane",28.162544,-96.903984,2013,11,"HUMAN_OBSERVATION"
"112","Whooping Crane",28.150967,-96.97347,2013,11,"HUMAN_OBSERVATION"
"113","Whooping Crane",28.16229,-96.88293,2013,11,"HUMAN_OBSERVATION"
"114","Whooping Crane",29.168251,-95.25378,2013,11,"HUMAN_OBSERVATION"
"115","Whooping Crane",28.33735,-96.67235,2013,11,"HUMAN_OBSERVATION"
"116","Whooping Crane",29.162704,-95.262794,2013,11,"HUMAN_OBSERVATION"
"117","Whooping Crane",29.059206,-95.27457,2013,11,"HUMAN_OBSERVATION"
"118","Whooping Crane",29.172646,-95.25359,2013,11,"HUMAN_OBSERVATION"
"119","Whooping Crane",28.065424,-96.981979,2014,1,"HUMAN_OBSERVATION"
"120","Whooping Crane",28.100772,-96.89694,2014,1,"HUMAN_OBSERVATION"
"121","Whooping Crane",28.026938,-96.804453,2014,1,"HUMAN_OBSERVATION"
"122","Whooping Crane",28.240393,-96.81882,2014,1,"HUMAN_OBSERVATION"
"123","Whooping Crane",28.134745,-96.91212,2014,1,"HUMAN_OBSERVATION"
"124","Whooping Crane",28.3108,-96.80116,2014,1,"HUMAN_OBSERVATION"
"125","Whooping Crane",28.13255,-96.985054,2014,1,"HUMAN_OBSERVATION"
"126","Whooping Crane",28.149769,-96.97626,2014,1,"HUMAN_OBSERVATION"
"127","Whooping Crane",28.2504,-96.78944,2014,1,"HUMAN_OBSERVATION"
"128","Whooping Crane",28.145643,-96.97349,2014,1,"HUMAN_OBSERVATION"
"129","Whooping Crane",28.290926,-96.80985,2014,1,"HUMAN_OBSERVATION"
"130","Whooping Crane",28.293312,-96.90671,2014,1,"HUMAN_OBSERVATION"
"131","Whooping Crane",28.301367,-96.80596,2014,1,"HUMAN_OBSERVATION"
"132","Whooping Crane",28.1102,-96.932,2014,1,"HUMAN_OBSERVATION"
"133","Whooping Crane",28.13744,-96.9097,2014,1,"HUMAN_OBSERVATION"
"134","Whooping Crane",28.13762,-96.98891,2014,1,"HUMAN_OBSERVATION"
"135","Whooping Crane",28.30154,-96.80632,2014,1,"HUMAN_OBSERVATION"
"136","Whooping Crane",28.307882,-96.80454,2014,1,"HUMAN_OBSERVATION"
"137","Whooping Crane",28.21865,-96.98799,2014,1,"HUMAN_OBSERVATION"
"138","Whooping Crane",28.33735,-96.67235,2014,1,"HUMAN_OBSERVATION"
"139","Whooping Crane",28.037441,-97.0697,2014,1,"HUMAN_OBSERVATION"
"140","Whooping Crane",28.12071,-96.92311,2014,1,"HUMAN_OBSERVATION"
"141","Whooping Crane",28.308914,-96.80139,2014,1,"HUMAN_OBSERVATION"
"142","Whooping Crane",28.299393,-96.80698,2014,1,"HUMAN_OBSERVATION"
"143","Whooping Crane",28.339365,-96.666046,2014,1,"HUMAN_OBSERVATION"
"144","Whooping Crane",28.14303,-96.90411,2014,1,"HUMAN_OBSERVATION"
"145","Whooping Crane",28.652634,-96.22908,2014,1,"HUMAN_OBSERVATION"
"146","Whooping Crane",28.241205,-96.831985,2014,1,"HUMAN_OBSERVATION"
"147","Whooping Crane",28.14412,-96.97508,2014,1,"HUMAN_OBSERVATION"
"148","Whooping Crane",28.084097,-96.97769,2014,1,"HUMAN_OBSERVATION"
